sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00351	Aldy	0.7	0	0	0
HG00353	Aldy	0.8	0	0	0
HG00355	Aldy	0.7	0	0	0
HG00356	Aldy	0.8	0	0	0
HG00357	Aldy	0.7	0	0	0
HG00358	Aldy	0.7	0	0	0
HG00360	Aldy	0.8	0	0	0
HG00361	Aldy	0.7	0	0	0
HG00362	Aldy	0.7	0	0	0
HG00364	Aldy	1.3	0	0	0
HG00365	Aldy	0.7	0	0	0
HG00366	Aldy	0.8	0	0	0
HG00367	Aldy	0.7	0	0	0
HG00368	Aldy	0.8	0	0	0
HG00369	Aldy	1.2	0	0	0
HG00371	Aldy	1.4	0	0	0
HG00372	Aldy	1.5	0	0	0
HG00373	Aldy	0.9	0	0	0
HG00375	Aldy	0.7	0	0	0
HG00376	Aldy	0.9	0	0	0
HG00378	Aldy	1.2	0	0	0
HG00379	Aldy	0.7	0	0	0
HG00380	Aldy	0.7	0	0	0
HG00381	Aldy	0.7	0	0	0
HG00382	Aldy	0.7	0	0	0
HG00383	Aldy	1.0	0	0	0
HG00384	Aldy	0.9	0	0	0
HG00403	Aldy	0.9	0	0	0
HG00404	Aldy	0.8	0	0	0
HG00405	Aldy	1.5	0	0	0
HG00406	Aldy	0.7	0	0	0
HG00407	Aldy	0.9	0	0	0
HG00408	Aldy	0.7	0	0	0
HG00409	Aldy	0.9	0	0	0
HG00410	Aldy	0.8	0	0	0
HG00418	Aldy	0.8	0	0	0
HG00419	Aldy	0.9	0	0	0
HG00420	Aldy	0.8	0	0	0
HG00421	Aldy	0.7	0	0	0
HG00422	Aldy	1.0	0	0	0
HG00423	Aldy	1.4	0	0	0
HG00427	Aldy	0.8	0	0	0
HG00428	Aldy	0.9	0	0	0
HG00429	Aldy	0.4	0	0	0
HG00436	Aldy	0.7	0	0	0
HG00437	Aldy	0.6	0	0	0
HG00438	Aldy	0.6	0	0	0
HG00442	Aldy	0.9	0	0	0
HG00443	Aldy	1.4	0	0	0
HG00444	Aldy	1.4	0	0	0
HG00445	Aldy	1.4	0	0	0
HG00446	Aldy	1.6	0	0	0
HG00447	Aldy	1.4	0	0	0
HG00448	Aldy	1.6	0	0	0
HG00449	Aldy	1.2	0	0	0
HG00450	Aldy	0.8	0	0	0
HG00451	Aldy	0.9	0	0	0
HG00452	Aldy	0.7	0	0	0
HG00453	Aldy	0.7	0	0	0
HG00457	Aldy	0.7	0	0	0
HG00458	Aldy	0.9	0	0	0
HG00459	Aldy	0.8	0	0	0
HG00463	Aldy	1.3	0	0	0
HG00464	Aldy	1.2	0	0	0
HG00465	Aldy	1.2	0	0	0
HG00472	Aldy	1.2	0	0	0
HG00473	Aldy	0.7	0	0	0
HG00474	Aldy	0.7	0	0	0
HG00475	Aldy	1.3	0	0	0
HG00476	Aldy	1.3	0	0	0
HG00477	Aldy	1.1	0	0	0
HG00478	Aldy	1.1	0	0	0
HG00479	Aldy	0.5	0	0	0
HG00480	Aldy	0.8	0	0	0
HG00500	Aldy	0.8	0	0	0
HG00501	Aldy	0.7	0	0	0
HG00502	Aldy	0.6	0	0	0
HG00512	Aldy	0.9	0	0	0
HG00513	Aldy	0.8	0	0	0
HG00514	Aldy	0.9	0	0	0
HG00524	Aldy	0.8	0	0	0
HG00525	Aldy	0.6	0	0	0
HG00526	Aldy	0.8	0	0	0
HG00530	Aldy	1.2	0	0	0
HG00531	Aldy	0.9	0	0	0
HG00532	Aldy	0.9	0	0	0
HG00533	Aldy	0.9	0	0	0
HG00534	Aldy	0.8	0	0	0
HG00535	Aldy	0.8	0	0	0
HG00536	Aldy	0.8	0	0	0
HG00537	Aldy	0.5	0	0	0
HG00538	Aldy	0.6	0	0	0
HG00542	Aldy	0.7	0	0	0
HG00543	Aldy	0.7	0	0	0
HG00544	Aldy	0.7	0	0	0
HG00551	Aldy	0.8	0	0	0
HG00552	Aldy	0.7	0	0	0
HG00553	Aldy	0.7	0	0	0
HG00554	Aldy	1.1	0	0	0
HG00555	Aldy	0.9	0	0	0
HG00556	Aldy	0.9	0	0	0
HG00557	Aldy	1.2	0	0	0
HG00558	Aldy	1.3	0	0	0
HG00559	Aldy	1.4	0	0	0
HG00560	Aldy	1.2	0	0	0
HG00561	Aldy	1.1	0	0	0
HG00565	Aldy	1.2	0	0	0
HG00566	Aldy	0.9	0	0	0
HG00567	Aldy	0.8	0	0	0
HG00577	Aldy	0.8	0	0	0
HG00578	Aldy	0.9	0	0	0
HG00579	Aldy	0.7	0	0	0
HG00580	Aldy	0.9	0	0	0
HG00581	Aldy	0.8	0	0	0
HG00582	Aldy	0.6	0	0	0
HG00583	Aldy	0.8	0	0	0
HG00584	Aldy	0.8	0	0	0
HG00585	Aldy	0.7	0	0	0
HG00589	Aldy	0.9	0	0	0
HG00590	Aldy	1.1	0	0	0
HG00591	Aldy	1.1	0	0	0
HG00592	Aldy	1.1	0	0	0
HG00593	Aldy	1.2	0	0	0
HG00594	Aldy	1.1	0	0	0
HG00595	Aldy	1.1	0	0	0
HG00596	Aldy	0.9	0	0	0
HG00597	Aldy	0.7	0	0	0
HG00598	Aldy	0.8	0	0	0
HG00599	Aldy	0.6	0	0	0
HG00607	Aldy	0.8	0	0	0
HG00608	Aldy	0.9	0	0	0
HG00609	Aldy	0.8	0	0	0
HG00610	Aldy	0.7	0	0	0
HG00611	Aldy	0.7	0	0	0
HG00612	Aldy	1.2	0	0	0
HG00613	Aldy	1.2	0	0	0
HG00614	Aldy	1.1	0	0	0
HG00615	Aldy	1.2	0	0	0
HG00619	Aldy	1.1	0	0	0
HG00620	Aldy	1.2	0	0	0
HG00621	Aldy	1.1	0	0	0
HG00622	Aldy	1.0	0	0	0
HG00623	Aldy	1.0	0	0	0
