sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00332	PharmCAT	0.3	0	21	0
HG00334	PharmCAT	0.3	0	21	0
HG00335	PharmCAT	0.3	0	21	0
HG00336	PharmCAT	0.3	0	21	0
HG00337	PharmCAT	0.2	0	21	0
HG00338	PharmCAT	0.4	0	21	0
HG00339	PharmCAT	0.2	0	21	0
HG00341	PharmCAT	0.3	0	21	0
HG00342	PharmCAT	0.3	0	21	0
HG00343	PharmCAT	0.3	0	21	0
HG00344	PharmCAT	0.3	0	21	0
HG00345	PharmCAT	0.3	0	21	0
HG00346	PharmCAT	0.3	0	21	0
HG00349	PharmCAT	0.3	0	21	0
HG00350	PharmCAT	0.3	0	21	0
HG00351	PharmCAT	0.3	0	21	0
HG00353	PharmCAT	0.3	0	21	0
HG00355	PharmCAT	0.3	0	21	0
HG00356	PharmCAT	0.3	0	21	0
HG00357	PharmCAT	0.3	0	21	0
HG00358	PharmCAT	0.3	0	21	0
HG00360	PharmCAT	0.3	0	21	0
HG00361	PharmCAT	0.3	0	21	0
HG00362	PharmCAT	0.3	0	21	0
HG00364	PharmCAT	0.3	0	21	0
HG00365	PharmCAT	0.3	0	21	0
HG00366	PharmCAT	0.3	0	21	0
HG00367	PharmCAT	0.3	0	21	0
HG00368	PharmCAT	0.3	0	21	0
HG00369	PharmCAT	0.3	0	21	0
HG00371	PharmCAT	0.3	0	21	0
HG00372	PharmCAT	0.3	0	21	0
HG00373	PharmCAT	0.3	0	21	0
HG00375	PharmCAT	0.2	0	21	0
HG00376	PharmCAT	0.3	0	21	0
HG00378	PharmCAT	0.3	0	21	0
HG00379	PharmCAT	0.3	0	21	0
HG00380	PharmCAT	0.3	0	21	0
HG00381	PharmCAT	0.2	0	21	0
HG00382	PharmCAT	0.3	0	21	0
HG00383	PharmCAT	0.3	0	21	0
HG00384	PharmCAT	0.3	0	21	0
HG00403	PharmCAT	0.3	0	21	0
HG00404	PharmCAT	0.3	0	21	0
HG00405	PharmCAT	0.3	0	21	0
HG00406	PharmCAT	0.3	0	21	0
HG00407	PharmCAT	0.4	0	21	0
HG00408	PharmCAT	0.3	0	21	0
HG00409	PharmCAT	0.3	0	21	0
HG00410	PharmCAT	0.3	0	21	0
HG00418	PharmCAT	0.3	0	21	0
HG00419	PharmCAT	0.3	0	21	0
HG00420	PharmCAT	0.3	0	21	0
HG00421	PharmCAT	0.3	0	21	0
HG00422	PharmCAT	0.4	0	21	0
HG00423	PharmCAT	0.3	0	21	0
HG00427	PharmCAT	0.3	0	21	0
HG00428	PharmCAT	0.3	0	21	0
HG00429	PharmCAT	0.3	0	21	0
HG00436	PharmCAT	0.3	0	21	0
HG00437	PharmCAT	0.3	0	21	0
HG00438	PharmCAT	0.3	0	21	0
HG00442	PharmCAT	0.3	0	21	0
HG00443	PharmCAT	0.3	0	21	0
HG00444	PharmCAT	0.3	0	21	0
HG00445	PharmCAT	0.4	0	21	0
HG00446	PharmCAT	0.3	0	21	0
HG00447	PharmCAT	0.3	0	21	0
HG00448	PharmCAT	0.3	0	21	0
HG00449	PharmCAT	0.3	0	21	0
HG00450	PharmCAT	0.3	0	21	0
HG00451	PharmCAT	0.3	0	21	0
HG00452	PharmCAT	0.3	0	21	0
HG00453	PharmCAT	0.3	0	21	0
HG00457	PharmCAT	0.3	0	21	0
HG00458	PharmCAT	0.3	0	21	0
HG00459	PharmCAT	0.3	0	21	0
HG00463	PharmCAT	0.3	0	21	0
HG00464	PharmCAT	0.3	0	21	0
HG00465	PharmCAT	0.3	0	21	0
HG00472	PharmCAT	0.3	0	21	0
HG00473	PharmCAT	0.3	0	21	0
HG00474	PharmCAT	0.4	0	21	0
HG00475	PharmCAT	0.3	0	21	0
HG00476	PharmCAT	0.3	0	21	0
HG00477	PharmCAT	0.4	0	21	0
HG00478	PharmCAT	0.3	0	21	0
HG00479	PharmCAT	0.3	0	21	0
HG00480	PharmCAT	0.3	0	21	0
HG00500	PharmCAT	0.3	0	21	0
HG00501	PharmCAT	0.3	0	21	0
HG00502	PharmCAT	0.3	0	21	0
HG00512	PharmCAT	0.3	0	21	0
HG00513	PharmCAT	0.3	0	21	0
HG00514	PharmCAT	0.3	0	21	0
HG00524	PharmCAT	0.3	0	21	0
HG00525	PharmCAT	0.3	0	21	0
HG00526	PharmCAT	0.3	0	21	0
HG00530	PharmCAT	0.3	0	21	0
HG00531	PharmCAT	0.2	0	21	0
HG00532	PharmCAT	0.3	0	21	0
HG00533	PharmCAT	0.2	0	21	0
HG00534	PharmCAT	0.3	0	21	0
HG00535	PharmCAT	0.3	0	21	0
HG00536	PharmCAT	0.3	0	21	0
HG00537	PharmCAT	0.3	0	21	0
HG00538	PharmCAT	0.3	0	21	0
HG00542	PharmCAT	0.3	0	21	0
HG00543	PharmCAT	0.3	0	21	0
HG00544	PharmCAT	0.3	0	21	0
HG00551	PharmCAT	0.3	0	21	0
HG00552	PharmCAT	0.3	0	21	0
HG00553	PharmCAT	0.3	0	21	0
HG00554	PharmCAT	0.3	0	21	0
HG00555	PharmCAT	0.3	0	21	0
HG00556	PharmCAT	0.3	0	21	0
HG00557	PharmCAT	0.3	0	21	0
HG00558	PharmCAT	0.3	0	21	0
HG00559	PharmCAT	0.3	0	21	0
HG00560	PharmCAT	0.2	0	21	0
HG00561	PharmCAT	0.3	0	21	0
HG00565	PharmCAT	0.3	0	21	0
HG00566	PharmCAT	0.3	0	21	0
HG00567	PharmCAT	0.3	0	21	0
HG00577	PharmCAT	0.3	0	21	0
HG00578	PharmCAT	0.3	0	21	0
HG00579	PharmCAT	0.3	0	21	0
HG00580	PharmCAT	0.3	0	21	0
HG00581	PharmCAT	0.3	0	21	0
HG00582	PharmCAT	0.3	0	21	0
HG00583	PharmCAT	0.3	0	21	0
HG00584	PharmCAT	0.3	0	21	0
HG00585	PharmCAT	0.3	0	21	0
HG00589	PharmCAT	0.3	0	21	0
HG00590	PharmCAT	0.3	0	21	0
HG00591	PharmCAT	0.3	0	21	0
HG00592	PharmCAT	0.3	0	21	0
HG00593	PharmCAT	0.3	0	21	0
HG00594	PharmCAT	0.3	0	21	0
HG00595	PharmCAT	0.3	0	21	0
